date,vemquartile,outcome,value,type
2021-07-26,2,deaths,204,observed
2021-07-26,3,cases,17764,observed
2021-07-26,3,hosps,1064,observed
2021-07-26,3,deaths,168,observed
2021-07-26,4,cases,14494,observed
2021-07-26,4,hosps,712,observed
2021-07-26,4,deaths,88,observed
2021-08-02,1,cases,24490,observed
2021-08-02,1,hosps,1725,observed
2021-08-02,1,deaths,327,observed
2021-08-02,2,cases,23720,observed
2021-08-02,2,hosps,1613,observed
2021-08-02,2,deaths,249,observed
2021-08-02,3,cases,21048,observed
2021-08-02,3,hosps,1261,observed
2021-08-02,3,deaths,224,observed
2021-08-02,4,cases,16668,observed
2021-08-02,4,hosps,850,observed
2021-08-02,4,deaths,90,observed
2021-08-09,1,cases,28500,observed
2021-08-09,1,hosps,1845,observed
2021-08-09,1,deaths,362,observed
2021-08-09,2,cases,26020,observed
2021-08-09,2,hosps,1680,observed
2021-08-09,2,deaths,297,observed
2021-08-09,3,cases,21799,observed
2021-08-09,3,hosps,1327,observed
2021-08-09,3,deaths,236,observed
2021-08-09,4,cases,16390,observed
2021-08-09,4,hosps,815,observed
2021-08-09,4,deaths,107,observed
2021-08-16,1,cases,29258,observed
2021-08-16,1,hosps,1910,observed
2021-08-16,1,deaths,433,observed
2021-08-16,2,cases,25054,observed
2021-08-16,2,hosps,1710,observed
2021-08-16,2,deaths,306,observed
2021-08-16,3,cases,20697,observed
2021-08-16,3,hosps,1321,observed
2021-08-16,3,deaths,236,observed
2021-08-16,4,cases,14341,observed
2021-08-16,4,hosps,760,observed
2021-08-16,4,deaths,130,observed
2021-08-23,1,cases,27611,observed
2021-08-23,1,hosps,1791,observed
2021-08-23,1,deaths,390,observed
2021-08-23,2,cases,22093,observed
2021-08-23,2,hosps,1550,observed
2021-08-23,2,deaths,283,observed
2021-08-23,3,cases,18455,observed
2021-08-23,3,hosps,1110,observed
2021-08-23,3,deaths,199,observed
2021-08-23,4,cases,12126,observed
2021-08-23,4,hosps,659,observed
2021-08-23,4,deaths,102,observed
2021-08-30,1,cases,25161,observed
2021-08-30,1,hosps,1731,observed
2021-08-30,1,deaths,353,observed
2021-08-30,2,cases,19689,observed
2021-08-30,2,hosps,1340,observed
2021-08-30,2,deaths,262,observed
2021-08-30,3,cases,16080,observed
2021-08-30,3,hosps,949,observed
2021-08-30,3,deaths,158,observed
2021-08-30,4,cases,10370,observed
2021-08-30,4,hosps,518,observed
2021-08-30,4,deaths,75,observed
2021-09-06,1,cases,21561,observed
2021-09-06,1,hosps,1455,observed
2021-09-06,1,deaths,306,observed
2021-09-06,2,cases,16742,observed
2021-09-06,2,hosps,1050,observed
2021-09-06,2,deaths,208,observed
2021-09-06,3,cases,13217,observed
2021-09-06,3,hosps,796,observed
2021-09-06,3,deaths,121,observed
